UniqueID,Residence,Education,HouseHeadSex,Age,NumChild,WealthIndexOriginal,WealthIndex
2754,Urban,Incomplete Secondary,Male,20,0,68453,281796
8630,Rural,No Education,Female,40,10,-53430,159913
14190,Rural,No Education,Male,40,6,-109001,104342
14605,Rural,No Education,Female,24,3,-73032,140311
8724,Rural,Incomplete Primary,Female,15,0,-35193,178150
5272,Rural,Incomplete Primary,Male,16,0,-32159,181184
132,Rural,Incomplete Primary,Male,23,3,-43877,169466
5515,Urban,Incomplete Primary,Female,18,0,98914,312257
15198,Urban,Incomplete Primary,Male,16,0,176356,389699
11932,Rural,No Education,Male,27,4,-58827,154516
6149,Rural,No Education,Male,46,8,-39324,174019
8110,Rural,No Education,Male,41,8,-134454,78889
6179,Rural,Incomplete Primary,Male,39,4,-81236,132107
2092,Rural,No Education,Male,28,0,-65512,147831
11390,Rural,No Education,Male,42,7,-13426,199917
3814,Urban,No Education,Male,22,1,133180,346523
12234,Rural,No Education,Female,30,4,-70373,142970
2620,Urban,Incomplete Primary,Male,40,2,129103,342446
1025,Urban,Incomplete Primary,Male,25,4,208059,421402
10677,Rural,No Education,Male,30,0,-77514,135829
3904,Rural,Incomplete Secondary,Female,15,0,-56657,156686
10310,Rural,No Education,Male,26,3,-88216,125127
7811,Urban,No Education,Female,42,6,-19443,193900
12175,Rural,Incomplete Primary,Male,34,5,-26239,187104
11911,Urban,Incomplete Primary,Female,18,0,-29692,183651
9863,Rural,Incomplete Primary,Male,26,2,-58447,154896
5099,Urban,No Education,Male,19,0,283067,496410
4030,Rural,No Education,Male,19,0,-28424,184919
15532,Urban,Higher,Male,22,0,150484,363827
14992,Rural,Incomplete Primary,Male,41,4,-16496,196847
3878,Urban,Higher,Female,28,1,230802,444145
6312,Urban,Incomplete Primary,Female,18,0,165008,378351
111,Urban,Incomplete Primary,Female,40,3,62389,275732
2443,Rural,Incomplete Primary,Male,26,1,-51575,161768
5599,Rural,Incomplete Primary,Male,30,5,-45553,167790
2523,Rural,Incomplete Secondary,Male,25,2,-54954,158389
11424,Rural,Incomplete Primary,Male,27,2,-28699,184644
14316,Rural,Incomplete Primary,Male,28,7,-19986,193357
3734,Urban,Complete Secondary,Male,42,7,113541,326884
8909,Rural,Incomplete Primary,Male,15,0,-63210,150133
11548,Rural,Incomplete Primary,Male,37,3,-64800,148543
9515,Rural,Incomplete Secondary,Male,20,0,12887,226230
3821,Urban,Higher,Female,42,2,106097,319440
15406,Urban,Incomplete Secondary,Male,16,0,179861,393204
4829,Rural,No Education,Female,23,0,-69786,143557
12891,Urban,Complete Secondary,Female,45,2,149191,362534
13144,Rural,Incomplete Primary,Male,33,6,-25917,187426
11855,Rural,No Education,Male,40,5,-68785,144558
7500,Rural,Incomplete Secondary,Male,16,0,-54179,159164
968,Rural,No Education,Male,38,6,-60062,153281
14143,Urban,Higher,Male,24,0,211774,425117
1946,Urban,Higher,Female,37,2,192979,406322
10371,Urban,Complete Secondary,Male,32,0,180078,393421
4035,Rural,Incomplete Primary,Female,23,2,-49235,164108
4833,Rural,No Education,Male,45,7,-73720,139623
96,Urban,Complete Secondary,Female,23,0,102736,316079
8992,Rural,Higher,Male,21,0,8335,221678
3388,Urban,Higher,Male,44,4,254095,467438
2612,Rural,Incomplete Primary,Female,16,0,-51079,162264
14427,Rural,No Education,Male,20,2,-60917,152426
2819,Rural,No Education,Female,40,8,-131211,82132
9309,Rural,Incomplete Primary,Male,22,1,72404,285747
220,Rural,Incomplete Primary,Female,20,0,-40828,172515
10646,Urban,Higher,Female,27,0,215315,428658
60,Rural,Incomplete Secondary,Male,16,0,1596,214939
14690,Urban,Incomplete Secondary,Male,16,0,197308,410651
2549,Urban,Incomplete Primary,Female,34,0,190668,404011
15192,Urban,Incomplete Secondary,Male,26,0,219266,432609
3887,Rural,No Education,Male,18,1,-57078,156265
4607,Urban,No Education,Male,46,3,142583,355926
13944,Rural,Complete Primary,Male,20,1,-28447,184896
2458,Rural,No Education,Male,37,7,-98070,115273
13300,Urban,Higher,Male,35,2,172944,386287
8361,Rural,Incomplete Primary,Female,16,0,-106552,106791
7599,Urban,Incomplete Secondary,Male,17,0,292072,505415
462,Rural,Incomplete Primary,Female,19,0,-29753,183590
12213,Rural,No Education,Male,43,5,-18659,194684
13549,Rural,Incomplete Secondary,Male,19,0,-24281,189062
14399,Urban,Higher,Female,31,1,103771,317114
5138,Rural,No Education,Male,28,4,-74624,138719
8525,Rural,Incomplete Secondary,Male,16,0,-44822,168521
5130,Rural,No Education,Male,33,5,-60258,153085
15301,Rural,No Education,Female,32,5,-96402,116941
9301,Rural,No Education,Female,30,1,33119,246462
14744,Rural,No Education,Male,43,4,-42563,170780
14986,Rural,No Education,Male,27,3,-37252,176091
11490,Urban,Incomplete Secondary,Male,31,3,200333,413676
14534,Rural,Incomplete Primary,Female,36,6,-50054,163289
4520,Rural,Incomplete Primary,Male,24,4,-52837,160506
399,Urban,Incomplete Secondary,Male,17,0,99836,313179
9724,Urban,Higher,Female,20,0,181441,394784
15405,Urban,Incomplete Primary,Male,19,0,179861,393204
14935,Urban,Incomplete Primary,Male,47,4,233481,446824
2376,Urban,Complete Primary,Female,30,0,187836,401179
3102,Rural,No Education,Female,46,6,-66709,146634
5427,Urban,Incomplete Primary,Female,42,4,183446,396789
6203,Rural,No Education,Female,25,3,-64296,149047
15196,Urban,Incomplete Primary,Male,32,3,176356,389699
11005,Rural,No Education,Male,42,10,-116697,96646
10712,Rural,No Education,Male,35,7,-51134,162209
10165,Rural,Incomplete Primary,Male,15,0,-40979,172364
11162,Rural,No Education,Male,41,7,-44880,168463
7040,Urban,Incomplete Primary,Female,18,0,137884,351227
15063,Rural,No Education,Male,27,3,-127669,85674
9143,Rural,No Education,Male,34,0,-19507,193836
331,Urban,Higher,Female,27,2,107083,320426
1787,Rural,No Education,Male,38,7,-39869,173474
813,Rural,Incomplete Primary,Female,23,0,-82398,130945
1979,Urban,Higher,Female,22,0,149436,362779
3117,Rural,No Education,Male,41,8,-36203,177140
1695,Urban,Complete Primary,Female,40,2,163905,377248
614,Rural,No Education,Female,38,8,-66845,146498
1283,Urban,Higher,Male,21,0,216744,430087
8048,Urban,No Education,Female,45,0,69799,283142
15434,Rural,Incomplete Primary,Male,20,1,-74640,138703
10480,Rural,No Education,Male,20,0,-20176,193167
15129,Rural,No Education,Male,39,6,-19908,193435
14608,Rural,No Education,Male,16,0,-53388,159955
5441,Urban,No Education,Female,24,2,23786,237129
10770,Urban,Incomplete Primary,Male,35,3,152112,365455
6593,Urban,Incomplete Secondary,Female,32,1,191899,405242
15625,Rural,No Education,Male,20,2,-74568,138775
5438,Urban,Incomplete Primary,Male,16,0,230121,443464
8132,Rural,No Education,Male,37,5,-53536,159807
11909,Urban,No Education,Female,42,4,-29692,183651
3657,Urban,Incomplete Secondary,Male,28,1,196004,409347
9862,Rural,Incomplete Primary,Male,27,3,-35945,177398
10307,Rural,No Education,Male,37,7,-67941,145402
11768,Rural,Complete Primary,Male,18,0,-66041,147302
9940,Rural,Incomplete Primary,Male,36,2,-41028,172315
11251,Urban,Incomplete Primary,Female,20,0,124561,337904
15037,Rural,Incomplete Primary,Female,40,6,-80633,132710
5166,Rural,No Education,Male,35,6,-44443,168900
10796,Rural,No Education,Male,18,0,-63031,150312
15157,Urban,Incomplete Primary,Male,17,0,185296,398639
4505,Urban,No Education,Male,35,5,98948,312291
10625,Rural,Incomplete Primary,Male,27,3,-61181,152162
2030,Rural,Incomplete Primary,Male,19,0,-48317,165026
5850,Rural,No Education,Male,45,8,-54116,159227
9124,Rural,No Education,Male,39,5,-16261,197082
6368,Rural,No Education,Female,25,0,-101578,111765
8632,Rural,Incomplete Primary,Female,16,0,-53430,159913
6921,Urban,Incomplete Secondary,Female,24,0,153259,366602
1577,Rural,No Education,Male,35,4,-33743,179600
336,Urban,No Education,Male,35,6,5217,218560
9217,Urban,Incomplete Primary,Male,15,0,188934,402277
5860,Rural,Incomplete Primary,Male,35,7,8183,221526
4270,Rural,Incomplete Primary,Female,21,0,-59963,153380
3019,Rural,No Education,Female,32,3,-30255,183088
2693,Urban,Complete Secondary,Male,43,1,159818,373161
8455,Rural,No Education,Male,18,0,-123785,89558
13348,Rural,Incomplete Primary,Male,18,1,-78055,135288
8050,Urban,Incomplete Secondary,Male,25,1,150997,364340
4302,Rural,No Education,Male,35,6,-45501,167842
13405,Urban,Complete Secondary,Female,18,2,125474,338817
15032,Rural,No Education,Male,33,4,-26946,186397
10370,Urban,Higher,Female,16,0,66500,279843
10439,Rural,No Education,Male,47,2,-59602,153741
12180,Urban,No Education,Male,42,5,83249,296592
13715,Rural,No Education,Male,28,5,-53506,159837
8680,Urban,No Education,Male,45,8,-43096,170247
11332,Rural,Incomplete Secondary,Male,23,0,-44343,169000
5624,Rural,Complete Primary,Female,26,3,-81042,132301
2665,Urban,Incomplete Primary,Female,38,2,167216,380559
4058,Rural,No Education,Male,16,0,-64156,149187
9573,Urban,Incomplete Secondary,Female,44,3,95483,308826
8678,Urban,No Education,Female,17,0,-24805,188538
1732,Urban,Incomplete Secondary,Female,17,0,113603,326946
2623,Urban,Incomplete Primary,Male,41,3,171702,385045
13215,Urban,Incomplete Secondary,Female,23,0,158774,372117
15119,Rural,Incomplete Primary,Male,28,4,-19812,193531
3911,Rural,Incomplete Primary,Male,28,3,-44495,168848
8590,Rural,Incomplete Primary,Male,16,0,-54589,158754
2319,Rural,No Education,Male,18,0,-32982,180361
3411,Rural,No Education,Male,46,5,-17919,195424
13595,Urban,Higher,Female,21,0,223170,436513
8929,Urban,Higher,Male,21,0,196483,409826
1167,Urban,No Education,Female,33,2,90993,304336
1452,Urban,Incomplete Secondary,Male,15,0,197386,410729
9842,Rural,No Education,Male,31,5,-63938,149405
2967,Rural,No Education,Male,31,5,-25880,187463
6537,Rural,Incomplete Secondary,Male,24,4,-53030,160313
5861,Rural,Incomplete Primary,Male,15,0,8183,221526
8639,Rural,No Education,Female,35,7,-67078,146265
9026,Rural,Incomplete Primary,Male,28,2,-34563,178780
7208,Urban,Incomplete Primary,Male,27,3,30170,243513
4354,Urban,Higher,Male,23,0,224017,437360
7582,Rural,No Education,Male,37,3,-75004,138339
4984,Rural,No Education,Male,25,0,-44826,168517
4070,Rural,No Education,Male,33,2,-34871,178472
13112,Rural,Incomplete Primary,Male,15,0,-23637,189706
7773,Rural,Incomplete Primary,Male,17,0,-82246,131097
1944,Rural,No Education,Female,20,1,-39795,173548
10665,Urban,Incomplete Primary,Female,26,1,14538,227881
4388,Rural,Incomplete Primary,Male,26,2,-37494,175849
9658,Rural,No Education,Male,41,9,-9585,203758
11270,Rural,Incomplete Primary,Male,20,0,-15919,197424
11418,Rural,No Education,Male,25,2,-72010,141333
1348,Urban,Complete Primary,Female,39,3,228860,442203
8285,Rural,No Education,Female,36,2,-39532,173811
317,Rural,No Education,Female,45,5,-72605,140738
8560,Urban,Incomplete Secondary,Female,23,0,161262,374605
11483,Urban,Incomplete Primary,Male,21,0,211953,425296
8840,Urban,Higher,Male,30,2,91237,304580
1209,Rural,No Education,Male,19,2,-114230,99113
11673,Urban,Higher,Male,30,1,62511,275854
425,Urban,Incomplete Primary,Male,28,2,126426,339769
555,Rural,No Education,Female,39,2,-44441,168902
2993,Rural,No Education,Male,36,2,-63792,149551
1955,Urban,Higher,Female,29,2,217450,430793
8295,Rural,No Education,Male,31,3,-43145,170198
10898,Rural,Incomplete Primary,Male,23,0,-60922,152421
1512,Rural,No Education,Male,31,3,-35454,177889
6463,Rural,No Education,Male,38,8,-49224,164119
4904,Urban,Incomplete Primary,Male,15,0,140212,353555
13341,Rural,No Education,Male,40,8,-69503,143840
15653,Urban,Complete Primary,Male,25,0,151439,364782
10664,Urban,No Education,Male,28,4,15262,228605
3981,Rural,Incomplete Primary,Male,40,8,-24576,188767
9145,Rural,No Education,Male,26,4,-28872,184471
1514,Rural,No Education,Male,28,1,-55531,157812
12967,Urban,Incomplete Secondary,Female,32,2,163321,376664
11999,Rural,Complete Primary,Male,22,1,-54779,158564
4047,Rural,No Education,Male,38,4,-42852,170491
2597,Rural,No Education,Male,35,8,-30169,183174
7920,Rural,No Education,Male,32,4,16406,229749
574,Rural,No Education,Male,37,6,-56347,156996
6187,Rural,Incomplete Primary,Female,31,2,-69209,144134
7678,Rural,No Education,Male,25,3,-67372,145971
14167,Rural,No Education,Male,28,0,-70660,142683
5014,Rural,No Education,Female,36,2,-59241,154102
5869,Rural,No Education,Male,32,3,-19646,193697
14871,Urban,Incomplete Secondary,Female,26,0,54305,267648
6577,Rural,No Education,Male,22,1,-60493,152850
12943,Urban,Incomplete Secondary,Male,27,2,205664,419007
3680,Rural,No Education,Male,32,5,-44476,168867
13691,Rural,Incomplete Primary,Male,26,3,-75489,137854
1584,Rural,Incomplete Primary,Male,21,2,-48105,165238
3308,Rural,Incomplete Primary,Male,38,5,-24345,188998
69,Rural,No Education,Male,28,3,-119254,94089
6875,Urban,Incomplete Secondary,Female,24,2,-81420,131923
7616,Urban,Complete Secondary,Female,29,3,306118,519461
10390,Rural,Incomplete Primary,Male,18,0,-33805,179538
13466,Rural,Incomplete Primary,Male,49,7,-36781,176562
13149,Rural,Incomplete Primary,Male,15,0,-67820,145523
3979,Rural,Incomplete Primary,Male,18,0,-1614,211729
15451,Rural,Incomplete Primary,Male,42,5,-12335,201008
11509,Rural,No Education,Male,17,0,-34986,178357
