iter	RMSE
0	97592.03261
1	90772.06926
2	84869.79825
3	79788.81033
4	75497.24423
5	71670.66901
6	68301.78185
7	65459.19125
8	63015.2696
9	61008.93304
10	59433.38928
11	58098.45745
12	56809.26904
13	55661.34075
14	54784.24919
15	54119.03147
16	53374.87959
17	52791.6379
18	52293.94751
19	52024.53692
20	51675.41677
21	51483.42857
22	51216.29733
23	50994.99249
24	50851.85913
25	50696.25319
26	50571.21011
27	50476.95363
28	50402.29227
29	50312.2782
30	50215.47013
31	50114.53025
32	50041.01693
33	49981.95158
34	49930.47092
35	49915.50537
36	49865.48421
37	49834.13971
38	49789.60028
39	49749.2876
40	49724.4769
41	49690.58847
42	49665.56947
43	49639.09475
44	49619.39579
45	49601.47082
46	49585.16623
47	49568.31374
48	49553.709
49	49536.93097
