iter	RMSE
0	99316.83351
1	93590.8269
2	88239.72511
3	83258.16998
4	78652.87972
5	74065.87337
6	69908.94891
7	65900.13589
8	62154.98081
9	58566.24724
10	55307.32658
11	52217.60873
12	49287.08333
13	46489.58584
14	43863.92414
15	41435.75302
16	39100.5105
17	36861.18787
18	34820.55392
19	32906.82298
20	31126.28575
21	29382.96482
22	27741.15749
23	26168.17752
24	24825.26257
25	23469.47823
26	22211.84809
27	20964.0831
28	19829.62926
29	18774.95431
30	17759.61142
31	16769.51673
32	15857.55606
33	15005.2972
34	14200.38714
35	13422.25937
36	12723.6112
37	12085.27565
38	11458.31267
39	10849.91633
40	10267.79524
41	9735.742343
42	9224.312982
43	8757.680244
44	8309.711213
45	7902.984131
46	7510.425994
47	7149.15017
48	6805.174363
49	6486.086474
50	6199.931913
51	5910.98897
52	5642.224607
53	5384.659519
54	5166.10526
55	4951.818741
56	4747.997663
57	4556.559271
58	4372.962833
59	4206.371133
60	4055.305904
61	3920.279745
62	3780.666663
63	3649.198805
64	3535.754492
65	3422.576479
66	3329.768427
67	3237.258965
68	3148.630939
69	3069.272901
70	2997.291109
71	2922.731155
72	2859.812473
73	2795.155198
74	2732.513133
75	2681.655517
76	2634.689981
77	2591.911925
78	2546.910839
79	2501.429707
80	2460.501604
81	2427.016279
82	2389.589861
83	2356.76542
84	2327.919209
85	2297.962246
86	2274.147975
87	2247.203424
88	2225.081295
89	2205.659992
90	2184.027721
91	2165.265656
92	2148.427464
93	2133.608118
94	2114.889475
95	2103.488387
96	2086.212513
97	2075.353465
98	2063.438574
99	2050.861628
100	2038.239689
101	2028.655286
102	2017.623182
103	2010.356405
104	2003.638021
105	1991.115141
106	1979.887706
107	1973.792037
108	1963.218753
109	1950.452856
110	1942.831012
111	1934.158561
112	1924.886952
113	1920.106148
114	1912.235726
115	1906.338049
116	1894.333474
117	1889.749677
118	1881.659392
119	1874.106576
120	1861.060778
121	1850.822915
122	1846.107296
123	1837.634686
124	1831.128852
125	1822.188283
126	1813.529192
127	1806.689855
128	1802.018342
129	1795.132137
130	1792.362037
131	1789.478791
132	1784.308468
133	1781.480125
134	1777.518494
135	1774.987817
136	1770.527511
137	1767.623934
138	1762.570659
139	1753.800044
140	1749.013651
141	1745.201505
142	1737.352511
143	1732.781807
144	1730.635085
145	1728.721532
146	1724.247056
147	1720.426821
148	1716.594723
149	1712.936599
150	1707.066322
151	1701.27517
152	1696.741781
153	1690.562661
154	1687.806549
155	1685.300015
156	1681.679764
157	1678.12079
158	1674.493015
159	1671.395419
160	1667.515216
161	1665.847174
162	1662.917644
163	1655.789238
164	1652.443696
165	1649.045683
166	1647.145112
167	1644.362321
168	1643.10414
169	1641.691329
170	1638.3016
171	1632.15702
172	1628.981361
173	1627.194769
174	1624.381612
175	1619.193107
176	1614.989037
177	1605.820541
178	1598.489323
179	1590.282139
180	1587.197265
181	1585.372559
182	1578.60889
183	1575.205094
184	1572.309163
185	1565.513353
186	1564.285552
187	1559.815114
188	1558.557532
189	1557.388582
190	1554.645914
191	1551.684903
192	1549.217415
193	1546.509644
194	1545.419192
195	1542.800692
196	1540.218292
197	1536.143946
198	1533.569044
199	1532.285985
200	1524.894326
201	1523.909323
202	1520.614032
203	1518.106332
204	1512.906234
205	1509.062547
206	1507.005387
207	1502.602328
208	1498.811315
209	1497.873541
210	1494.249412
211	1492.86716
212	1490.432981
213	1488.096527
214	1483.459465
215	1480.628182
216	1478.759031
217	1476.336255
218	1474.006416
219	1471.723865
220	1468.650851
221	1465.28248
222	1463.099949
223	1460.090915
224	1458.763287
225	1451.77993
226	1449.446212
227	1448.563884
228	1442.972547
229	1441.22561
230	1439.551417
231	1437.273769
232	1430.971527
233	1428.206052
234	1426.226372
235	1424.442184
236	1422.229438
237	1419.855903
238	1416.482899
239	1414.581006
240	1412.352245
241	1410.162545
242	1405.083849
243	1402.500922
244	1398.700662
245	1397.478289
246	1395.386562
247	1391.253427
248	1390.228617
249	1388.200927
250	1387.334569
251	1385.847435
252	1383.085862
253	1382.359789
254	1380.57348
255	1373.444583
256	1372.476043
257	1371.177927
258	1369.083069
259	1366.759411
260	1364.817979
261	1363.034353
262	1361.132681
263	1358.026806
264	1356.839347
265	1355.519299
266	1352.374499
267	1350.560245
268	1348.840626
269	1342.710338
270	1339.529241
271	1337.986092
272	1336.654158
273	1333.474437
274	1330.531317
275	1329.065153
276	1327.506345
277	1325.596811
278	1322.31012
279	1320.55413
280	1316.859819
281	1314.517732
282	1312.741713
283	1309.237312
284	1303.521118
285	1301.71401
286	1299.976132
287	1296.996945
288	1295.078819
289	1293.397897
290	1290.660193
291	1289.275807
292	1287.369277
293	1285.741883
294	1280.890814
295	1279.340972
296	1277.822175
297	1275.285164
298	1273.819066
299	1272.40487
300	1269.591327
301	1265.459933
302	1262.696875
303	1261.322388
304	1259.995381
305	1258.713765
306	1255.012687
307	1253.770235
308	1251.542428
309	1249.366072
310	1248.158653
311	1244.090704
312	1240.418685
313	1238.933177
314	1237.761335
315	1236.475075
316	1235.146399
317	1231.843553
318	1230.388526
319	1228.669468
320	1226.211847
321	1222.991852
322	1219.62469
323	1218.02475
324	1216.755206
325	1215.6095
326	1213.73528
327	1212.153945
328	1211.344629
329	1210.222868
330	1209.140688
331	1207.129283
332	1206.050767
333	1202.987027
334	1201.94959
335	1201.18012
336	1200.165742
337	1197.739448
338	1195.524153
339	1193.649422
340	1192.537468
341	1191.543765
342	1188.970299
343	1187.777223
344	1185.415515
345	1184.24115
346	1183.078023
347	1181.249065
348	1178.347629
349	1177.394002
350	1174.372386
351	1173.234101
352	1171.435241
353	1170.363281
354	1168.083986
