iter	Passed	Remaining
0	168	167875
1	174	87282
2	179	59726
3	187	46593
4	192	38306
5	199	33008
6	203	28894
7	207	25712
8	210	23213
9	217	21566
10	221	19937
11	225	18526
12	230	17513
13	234	16536
14	238	15651
15	242	14883
16	247	14296
17	251	13730
18	255	13193
19	262	12879
20	266	12424
21	269	11998
22	273	11610
23	278	11325
24	282	11004
25	285	10700
26	289	10422
27	294	10214
28	298	9999
29	302	9777
30	309	9689
31	314	9499
32	318	9319
33	324	9213
34	327	9042
35	331	8880
36	342	8912
37	348	8821
38	356	8786
39	361	8673
40	365	8560
41	370	8444
42	374	8331
43	382	8307
44	388	8252
45	397	8236
46	401	8146
47	406	8068
48	416	8090
49	422	8023
50	428	7977
51	433	7901
52	436	7808
53	440	7715
54	451	7751
55	454	7669
56	460	7624
57	465	7565
58	469	7486
59	472	7409
60	480	7391
61	484	7327
62	488	7259
63	494	7239
64	499	7178
65	502	7114
66	508	7081
67	512	7024
68	516	6964
69	519	6903
70	528	6920
71	533	6877
72	537	6825
73	543	6798
74	546	6742
75	550	6688
76	553	6636
77	557	6592
78	561	6546
79	564	6497
80	571	6486
81	575	6443
82	579	6400
83	582	6354
84	587	6325
85	591	6281
86	594	6238
87	598	6200
88	605	6199
89	609	6161
90	612	6123
91	617	6097
92	621	6061
93	624	6023
94	629	5993
95	639	6020
96	643	5988
97	648	5968
98	652	5939
99	656	5910
100	660	5877
101	667	5873
102	671	5843
103	674	5814
104	680	5797
105	684	5772
106	688	5743
107	691	5713
108	697	5702
109	701	5673
110	705	5646
111	708	5618
112	718	5642
113	723	5621
114	728	5608
115	733	5590
116	737	5566
117	741	5541
118	748	5543
119	752	5520
120	756	5496
121	763	5497
122	768	5477
123	773	5461
124	782	5476
125	787	5459
126	795	5470
127	799	5448
128	803	5423
129	811	5430
130	819	5436
131	827	5442
132	832	5428
133	836	5408
134	844	5411
135	849	5394
136	856	5395
137	861	5379
138	864	5356
139	876	5387
140	890	5426
141	900	5441
142	914	5481
143	923	5491
144	930	5484
145	938	5488
146	943	5476
147	949	5464
148	959	5482
149	964	5465
150	970	5459
151	975	5439
152	979	5423
153	988	5429
154	993	5414
155	1000	5415
156	1005	5400
157	1009	5382
158	1014	5364
159	1018	5346
160	1023	5331
161	1026	5311
162	1033	5307
163	1037	5288
164	1041	5270
165	1046	5259
166	1051	5244
167	1055	5226
168	1059	5208
169	1068	5216
170	1072	5200
171	1079	5195
172	1083	5178
173	1086	5159
174	1090	5142
175	1097	5140
176	1101	5122
177	1105	5104
178	1111	5099
179	1115	5082
180	1120	5070
181	1129	5075
182	1134	5063
183	1138	5047
184	1146	5048
185	1150	5034
186	1156	5028
187	1163	5027
188	1169	5016
189	1176	5017
190	1180	5001
191	1184	4984
192	1190	4978
193	1194	4962
194	1198	4946
195	1201	4930
196	1208	4928
197	1212	4913
198	1220	4912
199	1225	4900
200	1229	4885
201	1232	4870
202	1237	4859
203	1241	4843
204	1244	4827
205	1248	4812
206	1257	4816
207	1260	4800
208	1264	4786
209	1269	4777
210	1273	4761
211	1276	4745
212	1280	4732
213	1288	4732
214	1294	4726
215	1301	4725
216	1305	4712
