UniqueID,Residence,Education,HouseHeadSex,Age,NumChild,WealthIndexOriginal,WealthIndex
1,Rural,No Education,Male,38,8,-51074,162269
2,Rural,Incomplete Primary,Male,17,0,-51074,162269
3,Rural,Incomplete Primary,Male,42,6,-50742,162601
4,Rural,No Education,Male,46,9,-50137,163206
5,Rural,No Education,Male,17,1,-50137,163206
6,Rural,No Education,Female,31,4,-53785,159558
7,Rural,No Education,Female,36,3,-2828,210515
8,Rural,No Education,Male,31,5,-57173,156170
9,Rural,No Education,Female,23,2,-64141,149202
10,Rural,Incomplete Primary,Male,17,0,-37343,176000
11,Rural,No Education,Male,45,7,-61976,151367
12,Rural,Incomplete Primary,Male,28,0,-33812,179531
13,Rural,Incomplete Primary,Male,25,2,-37879,175464
14,Rural,No Education,Male,25,3,-31679,181664
15,Rural,No Education,Male,27,6,-27687,185656
16,Rural,No Education,Male,43,7,-57344,155999
17,Rural,No Education,Male,17,0,-57344,155999
18,Rural,No Education,Male,34,5,-48067,165276
19,Rural,Incomplete Primary,Male,25,0,-48596,164747
20,Rural,No Education,Male,42,6,-37901,175442
21,Rural,Incomplete Primary,Male,19,1,-37901,175442
22,Rural,Incomplete Primary,Male,16,0,-37901,175442
23,Rural,No Education,Male,39,8,-36591,176752
24,Rural,Incomplete Primary,Male,18,0,-36591,176752
25,Rural,No Education,Male,25,0,-48215,165128
26,Rural,No Education,Male,38,5,-83839,129504
27,Rural,No Education,Male,20,3,-98459,114884
28,Rural,No Education,Female,36,5,-144953,68390
29,Rural,No Education,Female,38,6,-104969,108374
30,Rural,Incomplete Primary,Female,22,1,-75491,137852
31,Rural,No Education,Male,30,6,-83536,129807
32,Rural,No Education,Female,25,2,-93471,119872
33,Rural,No Education,Female,36,8,-102373,110970
34,Rural,Incomplete Primary,Female,15,0,-102373,110970
35,Rural,Incomplete Primary,Male,21,1,-91422,121921
36,Rural,Incomplete Primary,Male,15,0,-104538,108805
37,Rural,No Education,Male,29,6,-91948,121395
38,Rural,Incomplete Primary,Male,20,2,-101166,112177
39,Rural,Incomplete Primary,Male,16,1,-116080,97263
40,Rural,Higher,Female,19,0,-50385,162958
41,Rural,Incomplete Secondary,Female,20,0,-50385,162958
42,Rural,No Education,Male,26,5,-23046,190297
43,Rural,No Education,Male,30,2,-37617,175726
44,Rural,No Education,Male,35,1,-20983,192360
45,Rural,Incomplete Secondary,Male,16,0,-20983,192360
46,Rural,No Education,Male,27,2,-30753,182590
47,Rural,No Education,Male,27,3,-38176,175167
48,Rural,No Education,Male,28,2,-50071,163272
49,Rural,No Education,Male,40,4,-44423,168920
50,Rural,Incomplete Secondary,Male,18,0,-25595,187748
51,Rural,No Education,Male,33,3,-33620,179723
52,Rural,No Education,Male,32,5,-30568,182775
53,Rural,Complete Primary,Female,20,0,-5312,208031
54,Rural,Incomplete Secondary,Male,24,0,-27268,186075
55,Rural,No Education,Female,27,2,-57398,155945
56,Rural,Incomplete Primary,Male,19,0,-30604,182739
57,Rural,Incomplete Secondary,Male,19,0,-35215,178128
58,Rural,Incomplete Primary,Male,16,0,-35215,178128
59,Rural,Higher,Male,21,0,1596,214939
60,Rural,Incomplete Secondary,Male,16,0,1596,214939
61,Rural,No Education,Male,27,1,-14339,199004
62,Rural,No Education,Male,30,2,-31798,181545
63,Rural,Incomplete Primary,Male,28,1,-31798,181545
64,Rural,No Education,Male,40,8,-30431,182912
65,Rural,No Education,Male,32,4,-45081,168262
66,Rural,No Education,Male,27,2,-48367,164976
67,Rural,No Education,Male,27,4,-24473,188870
68,Rural,No Education,Male,16,0,-119254,94089
69,Rural,No Education,Male,28,3,-119254,94089
70,Rural,No Education,Female,38,5,-129968,83375
71,Rural,No Education,Female,25,4,-102659,110684
72,Rural,No Education,Male,25,2,-96758,116585
73,Rural,Incomplete Primary,Female,15,0,-124460,88883
74,Rural,No Education,Female,44,6,-124460,88883
75,Rural,Incomplete Primary,Female,22,2,-124460,88883
76,Rural,Incomplete Primary,Female,20,1,-119953,93390
77,Rural,No Education,Male,20,0,-133747,79596
78,Rural,No Education,Female,27,4,-115706,97637
79,Rural,No Education,Female,29,3,-125968,87375
80,Rural,No Education,Female,28,3,-82631,130712
81,Rural,No Education,Female,27,2,-131143,82200
82,Rural,No Education,Female,20,1,-135109,78234
83,Rural,No Education,Female,34,3,-123663,89680
84,Urban,Incomplete Primary,Female,28,1,64547,277890
85,Urban,Incomplete Primary,Female,18,0,16035,229378
86,Urban,No Education,Female,36,3,110101,323444
87,Urban,Incomplete Primary,Female,20,0,110101,323444
88,Urban,Complete Primary,Female,16,0,110101,323444
89,Urban,Incomplete Primary,Female,20,0,110101,323444
90,Urban,No Education,Female,35,1,101618,314961
91,Urban,No Education,Female,40,3,122814,336157
92,Urban,Higher,Female,17,0,122814,336157
93,Urban,No Education,Female,48,5,17738,231081
94,Urban,No Education,Male,28,2,20333,233676
95,Urban,Incomplete Primary,Female,20,0,102736,316079
96,Urban,Complete Secondary,Female,23,0,102736,316079
97,Urban,Incomplete Primary,Male,30,4,178428,391771
98,Urban,Complete Primary,Male,33,4,110201,323544
99,Urban,No Education,Male,25,0,110201,323544
100,Urban,Incomplete Secondary,Male,28,0,110201,323544
101,Urban,Incomplete Primary,Female,30,3,87608,300951
102,Urban,Incomplete Primary,Male,40,7,148314,361657
103,Urban,Incomplete Primary,Male,15,0,148314,361657
104,Urban,Complete Secondary,Male,29,3,186851,400194
105,Urban,Incomplete Secondary,Male,19,0,186851,400194
106,Urban,Incomplete Secondary,Male,19,0,186851,400194
107,Urban,Incomplete Primary,Male,18,1,186851,400194
108,Urban,Higher,Male,18,0,115925,329268
109,Urban,Incomplete Secondary,Male,36,4,170373,383716
110,Urban,Incomplete Primary,Male,28,0,170373,383716
111,Urban,Incomplete Primary,Female,40,3,62389,275732
112,Urban,Incomplete Primary,Male,35,5,127688,341031
113,Urban,No Education,Male,30,0,127688,341031
114,Urban,Incomplete Secondary,Female,18,0,86033,299376
115,Urban,Higher,Female,22,0,86033,299376
116,Urban,Incomplete Primary,Female,19,0,86033,299376
117,Urban,Higher,Female,23,0,86033,299376
118,Urban,No Education,Male,35,5,48590,261933
