iter	RMSE
0	100626.7508
1	96206.23471
2	92152.74974
3	88436.49849
4	85096.92994
5	81904.41628
6	78940.39625
7	76292.6349
8	73812.06861
9	71591.06731
10	69661.33788
11	67889.44914
12	66143.33565
13	64535.1668
14	63111.68611
15	61888.48433
16	60648.34451
17	59560.15732
18	58576.8842
19	57697.39014
20	56971.82932
21	56276.1332
22	55662.42897
23	55106.21007
24	54586.94985
25	54078.29777
26	53720.94285
27	53329.73543
28	53045.54848
29	52745.75399
30	52480.11119
31	52265.7918
32	52049.16786
33	51904.66996
34	51706.00653
35	51528.09734
36	51412.58409
37	51271.54479
38	51172.94503
39	51048.59129
40	50924.34846
41	50809.4897
42	50690.32122
43	50606.12281
44	50538.09542
45	50471.3568
46	50394.17107
47	50333.51136
48	50266.64626
49	50213.80789
50	50162.99729
51	50124.26312
52	50072.62606
53	50037.34163
54	50009.35027
55	49981.94642
56	49944.35312
57	49905.47238
58	49881.19943
59	49848.73397
60	49828.87384
61	49806.04724
62	49784.09742
63	49778.42881
64	49768.71385
65	49759.28523
66	49756.80161
67	49737.2782
68	49713.07838
69	49693.22702
70	49677.72827
71	49669.63386
72	49650.93953
73	49639.378
74	49629.1684
75	49614.227
76	49599.36829
77	49592.01047
78	49583.67194
79	49571.37268
80	49564.91349
81	49546.1932
82	49533.41668
83	49524.3686
84	49512.56765
85	49507.54392
86	49500.3065
87	49491.2308
88	49482.32838
89	49468.93144
90	49457.66975
91	49453.15945
92	49445.72139
93	49433.2303
94	49423.67486
95	49413.31668
96	49404.97927
97	49396.98383
98	49389.92472
99	49382.13299
100	49377.26937
101	49371.59828
102	49357.21343
103	49351.38865
104	49344.29624
105	49337.53588
106	49337.19895
107	49326.57931
108	49321.93558
109	49318.77432
110	49308.86759
111	49304.81717
112	49302.2435
113	49297.35188
114	49289.97449
115	49286.38165
116	49280.17123
117	49277.00557
118	49264.31141
119	49260.39429
120	49254.7279
121	49253.49173
122	49248.69002
123	49241.41343
124	49235.36104
125	49231.55089
126	49223.68871
127	49222.64209
128	49218.75281
129	49215.02952
130	49207.58064
131	49205.12271
132	49198.8548
133	49193.33086
134	49189.11799
135	49181.4001
136	49177.17283
137	49171.70647
138	49167.2818
139	49161.58879
140	49155.44041
141	49148.11958
142	49145.5781
143	49133.89053
144	49129.45461
145	49124.86457
146	49111.54581
147	49104.30687
148	49096.4373
149	49087.18788
150	49081.83834
151	49077.06622
152	49071.41345
153	49067.04715
154	49062.1918
155	49057.37413
156	49051.81115
157	49045.14826
158	49038.44543
159	49031.25265
160	49026.41338
161	49019.21465
162	49013.64331
163	49011.15775
164	49006.72694
165	49003.6818
166	48998.82056
167	48993.1624
168	48988.91304
169	48983.52773
170	48978.93086
171	48973.56399
172	48969.32135
173	48963.51824
174	48958.57493
175	48952.44364
176	48947.13009
177	48941.79317
178	48937.96064
179	48927.75827
180	48919.75817
181	48916.57359
182	48910.0334
183	48904.48226
184	48900.18043
185	48892.2885
186	48885.02026
187	48876.42141
188	48866.8019
189	48862.47683
190	48854.81037
191	48847.12451
192	48843.94078
193	48838.68911
194	48833.63861
195	48829.73795
196	48821.93533
197	48815.99669
198	48810.73883
199	48803.74574
200	48796.06884
201	48791.11674
202	48788.30398
203	48781.75332
204	48776.29554
205	48772.77097
206	48766.52862
207	48762.5044
208	48758.4496
209	48753.29633
210	48751.39482
211	48747.06415
212	48738.81698
213	48734.05639
214	48727.38393
215	48723.80944
216	48719.45848
217	48716.35143
218	48713.44217
219	48710.8041
220	48707.64757
221	48703.25746
222	48701.70687
223	48698.214
224	48695.41782
225	48692.12073
226	48684.02344
227	48678.29643
228	48675.09595
229	48671.13081
230	48666.86938
231	48662.83639
232	48656.46014
233	48651.28645
234	48643.76825
235	48638.70176
236	48634.77876
237	48631.78759
238	48629.5147
239	48626.51226
240	48621.43907
241	48617.92035
242	48615.39606
243	48606.39324
244	48601.73321
245	48598.50191
246	48594.78619
247	48590.56559
248	48587.9759
249	48582.92053
250	48577.4602
251	48572.95301
252	48570.3365
253	48563.88291
254	48561.64996
255	48559.21007
256	48557.78551
257	48554.78339
258	48552.4232
259	48548.58724
260	48544.76404
261	48541.38685
262	48538.94129
263	48534.03903
264	48527.27056
265	48524.20835
266	48520.68097
267	48515.91786
268	48508.86027
269	48502.36241
270	48498.8807
271	48495.94888
272	48492.383
273	48488.13129
274	48483.73304
275	48481.63279
276	48478.00424
277	48473.63658
278	48471.69556
279	48468.56589
280	48463.55976
281	48462.31242
282	48456.53605
283	48452.84771
284	48445.25006
285	48443.53503
286	48440.72046
287	48437.95548
288	48435.92569
289	48433.55799
290	48430.54442
291	48429.00034
292	48424.86812
293	48421.86902
294	48418.14749
295	48414.62775
296	48407.32938
297	48404.41146
298	48402.71042
299	48401.54883
300	48397.05484
301	48395.85966
302	48390.65463
303	48387.64067
304	48382.12446
305	48379.50186
306	48376.08097
307	48373.3391
308	48367.91162
309	48361.46277
310	48357.9506
311	48356.30548
312	48350.68123
313	48349.53282
314	48346.81
315	48342.76476
316	48339.27357
317	48335.92287
318	48332.61745
319	48329.47354
320	48327.76523
321	48323.98968
322	48318.55838
323	48314.8149
324	48312.72862
325	48308.63794
326	48304.84813
327	48300.75123
328	48298.80313
329	48297.09254
330	48296.1496
331	48291.50982
332	48288.17013
333	48284.64352
334	48283.57291
335	48278.7238
336	48276.87912
337	48273.81797
338	48272.94172
339	48270.97896
340	48267.92735
341	48265.6562
342	48262.48409
343	48257.80149
344	48254.65762
345	48253.32488
346	48250.83921
347	48248.71796
348	48245.39298
349	48242.13369
350	48239.34259
351	48236.80418
352	48233.48426
353	48229.31519
354	48226.55957
355	48223.68462
356	48221.45511
357	48218.35602
358	48217.09485
359	48215.13261
360	48212.94752
361	48211.13847
362	48210.39423
363	48207.46742
364	48204.6112
365	48201.01888
366	48198.92073
367	48195.42536
368	48192.76697
369	48189.77194
370	48186.36791
371	48183.58602
372	48179.24408
373	48176.27534
374	48173.19326
375	48169.11084
376	48166.84104
377	48164.2019
378	48161.42072
379	48158.42289
380	48156.11987
381	48154.73902
382	48152.81981
383	48150.41053
384	48149.58955
385	48146.86154
386	48144.57593
387	48142.79687
388	48136.16152
389	48132.28094
390	48130.20281
391	48127.74642
392	48125.77143
393	48123.15511
394	48120.26635
395	48117.15034
396	48114.41583
397	48111.48578
398	48108.98845
399	48106.03927
400	48105.39248
401	48100.81449
402	48097.33166
403	48095.63683
404	48093.2458
405	48089.82025
406	48085.96582
407	48083.41761
408	48081.72137
409	48080.12819
410	48077.6588
411	48074.98631
412	48071.31287
413	48066.6024
414	48062.59879
415	48060.34831
416	48056.95607
417	48054.75637
418	48050.38249
419	48045.23391
420	48043.11014
421	48040.62514
422	48038.29138
423	48037.18756
424	48035.01738
425	48030.73842
426	48028.22755
427	48025.44388
428	48022.78947
429	48020.58312
430	48016.0703
431	48014.63397
432	48012.40965
433	48010.02256
434	48008.24896
435	48005.98925
436	48004.72343
437	48002.7234
438	48001.28335
439	47997.80373
440	47995.6514
441	47989.27901
442	47985.69632
443	47984.46782
444	47980.35785
445	47978.26616
446	47976.34434
447	47973.12325
448	47970.09762
449	47967.9907
450	47966.14639
451	47964.46563
452	47961.6485
453	47959.62346
454	47957.63129
455	47955.79573
456	47951.72713
457	47948.64051
458	47946.64205
459	47944.19272
460	47941.7624
461	47940.54167
462	47937.8829
463	47937.12684
464	47931.90919
465	47928.86175
466	47925.7539
467	47920.541
468	47918.48308
469	47916.20669
470	47913.61369
471	47911.92376
472	47909.80265
473	47908.10253
474	47903.91499
475	47899.72077
476	47897.71021
477	47895.27313
478	47890.8512
479	47889.04486
480	47886.51283
481	47883.01403
482	47879.78173
483	47876.12324
484	47873.29641
485	47871.42284
486	47868.09415
487	47866.566
488	47864.92313
489	47862.80214
490	47859.44788
491	47856.91018
492	47854.97741
493	47853.39875
494	47848.70128
495	47846.03845
496	47842.10691
497	47840.79454
498	47839.3292
499	47834.26232
500	47832.62717
501	47830.48169
502	47828.85725
503	47827.07664
504	47825.23626
505	47821.8484
506	47818.67739
507	47815.77079
508	47813.76233
509	47811.332
510	47808.62581
511	47806.16891
512	47803.84946
513	47802.12366
514	47800.00646
515	47797.29963
516	47795.72763
517	47794.1412
518	47791.39623
519	47789.32587
520	47787.70645
521	47786.37442
522	47784.72047
523	47782.94653
524	47779.04819
525	47775.95567
526	47774.27447
527	47772.49072
528	47770.45066
529	47769.43678
530	47767.67641
531	47766.41473
532	47765.57502
533	47764.19214
534	47761.20926
535	47758.01226
536	47756.07097
537	47753.78797
538	47752.25619
539	47749.02808
540	47746.99712
541	47745.79618
542	47743.67653
543	47741.24397
544	47738.87979
545	47737.15606
546	47735.25647
547	47732.74226
548	47729.18904
549	47726.29573
550	47723.47353
551	47721.43581
552	47718.92397
553	47714.84155
554	47713.41256
555	47711.72735
556	47708.93893
557	47707.34408
558	47705.13568
559	47701.83685
560	47699.72604
561	47698.75803
562	47696.7477
563	47695.15915
564	47693.02673
565	47691.65525
566	47690.60401
567	47689.1933
568	47687.15328
569	47685.42244
570	47683.22006
571	47681.75326
572	47679.13212
573	47677.61498
574	47676.34247
575	47674.95747
576	47673.22082
577	47670.06099
578	47668.90345
579	47667.03664
580	47665.44885
581	47663.56232
582	47660.19392
583	47657.3634
584	47655.73789
585	47654.50407
586	47653.32122
587	47651.25338
588	47648.92331
589	47648.12998
590	47647.17837
591	47643.5819
592	47641.36039
593	47639.98878
594	47638.51797
595	47635.69747
596	47632.75482
597	47630.84289
598	47628.4511
599	47626.72187
600	47625.95338
601	47623.33688
602	47621.33676
603	47619.61556
604	47617.69915
605	47616.50802
606	47615.21641
607	47613.32342
608	47611.47895
609	47609.73945
610	47608.45295
611	47607.67936
612	47606.85515
613	47601.26432
614	47600.04104
615	47597.80545
616	47595.43587
617	47593.76984
618	47591.72433
619	47589.37518
620	47587.14064
621	47585.44921
622	47583.10147
623	47581.77337
624	47580.20307
625	47578.62932
626	47577.40912
627	47575.45104
628	47573.67297
629	47571.84165
630	47571.1616
631	47570.56433
632	47569.58707
633	47568.38396
634	47567.46439
635	47565.38395
636	47564.42862
637	47562.32711
638	47561.01517
639	47560.48747
640	47559.59129
641	47558.5146
642	47557.67066
643	47555.23562
644	47553.89078
645	47552.10671
646	47550.41502
647	47549.78921
648	47548.59266
649	47545.97213
650	47542.31049
651	47541.1541
652	47539.66315
653	47538.30522
654	47536.71184
655	47534.62782
656	47532.30048
657	47531.12472
658	47529.77013
659	47528.42605
660	47527.39715
661	47524.89157
662	47523.62474
663	47522.71022
664	47520.14125
665	47519.08395
666	47517.71337
667	47515.874
668	47513.83382
669	47511.00834
670	47508.76752
671	47507.38657
672	47506.61831
673	47504.02828
674	47503.0625
675	47500.97175
676	47495.94828
677	47493.25623
678	47491.3549
679	47490.33741
680	47489.62396
681	47488.47628
682	47485.34214
683	47483.66457
