iter	Passed	Remaining
0	3	3444
1	6	3326
2	10	3527
3	13	3390
4	16	3205
5	18	3135
6	21	3111
7	24	3079
8	28	3115
9	31	3116
10	33	3034
11	35	2945
12	39	3012
13	43	3046
14	46	3056
15	48	3004
16	52	3031
17	55	3017
18	58	3006
19	61	3035
20	64	3009
21	67	2998
22	70	2981
23	73	2976
24	77	3005
25	80	3007
26	82	2972
27	85	2963
28	87	2925
29	91	2944
30	103	3239
31	106	3236
32	110	3228
33	112	3182
34	114	3166
35	117	3152
36	119	3116
37	123	3131
38	126	3122
39	130	3125
40	133	3114
41	136	3104
42	140	3119
43	142	3106
44	145	3094
45	148	3085
46	151	3076
47	155	3088
48	158	3080
49	161	3067
50	164	3056
51	167	3048
52	171	3063
53	174	3052
54	176	3032
55	179	3021
56	182	3012
57	186	3023
58	188	3014
59	191	3005
60	194	2998
61	197	2990
62	201	2998
63	203	2981
64	206	2972
65	208	2955
66	210	2933
67	214	2937
68	218	2944
69	221	2940
70	224	2933
71	227	2926
72	230	2933
73	234	2931
74	237	2923
75	239	2916
76	242	2911
77	245	2904
78	249	2907
79	252	2900
80	254	2892
81	258	2894
82	262	2904
83	266	2910
84	270	2909
85	273	2910
86	276	2903
87	280	2909
88	283	2901
89	286	2896
90	289	2896
91	292	2890
92	296	2890
93	299	2886
94	303	2888
95	307	2895
96	313	2917
97	316	2909
98	319	2904
99	321	2896
100	324	2890
101	328	2891
102	346	3014
103	349	3009
104	352	3000
105	354	2992
106	357	2984
107	360	2981
108	363	2975
109	366	2966
110	369	2958
111	372	2954
112	376	2951
113	379	2946
114	381	2938
115	384	2932
116	387	2928
117	391	2928
118	395	2928
119	398	2919
120	401	2913
121	403	2906
122	407	2907
123	411	2903
124	414	2898
125	416	2890
126	421	2896
127	424	2888
128	426	2881
129	429	2874
130	433	2872
131	438	2880
132	440	2874
133	443	2867
134	446	2860
135	449	2858
136	453	2859
137	457	2854
138	459	2848
139	462	2841
140	466	2840
141	469	2838
142	472	2828
143	474	2822
144	478	2819
145	481	2815
146	484	2814
147	487	2809
148	490	2803
149	494	2801
150	498	2800
151	501	2795
152	503	2789
153	506	2784
154	510	2783
155	514	2782
156	517	2778
157	520	2773
158	523	2767
159	526	2762
160	530	2763
161	533	2758
162	536	2752
163	538	2747
164	541	2741
165	545	2739
166	548	2735
167	551	2733
168	554	2727
169	557	2722
170	561	2719
171	564	2717
172	570	2725
173	580	2757
174	583	2752
175	586	2746
176	589	2741
177	593	2741
178	596	2736
179	599	2730
180	602	2725
181	605	2719
182	609	2720
183	612	2718
184	615	2713
185	618	2708
186	622	2705
187	625	2702
188	628	2696
189	631	2690
190	634	2685
191	637	2680
192	640	2679
193	643	2674
194	646	2668
195	649	2662
196	652	2657
197	655	2656
198	659	2652
199	661	2647
200	664	2643
201	668	2640
202	671	2637
203	674	2632
204	677	2627
205	681	2627
206	687	2632
207	690	2630
208	693	2626
209	697	2622
210	699	2616
211	703	2614
212	706	2609
213	709	2607
214	713	2604
215	716	2600
216	720	2598
217	723	2593
218	726	2589
219	729	2585
220	733	2584
221	736	2580
222	739	2576
223	742	2572
224	745	2566
225	748	2563
226	751	2559
227	754	2555
228	757	2549
229	760	2544
230	762	2539
231	766	2537
232	769	2532
233	772	2528
234	775	2522
235	777	2518
236	781	2517
237	785	2513
238	787	2508
239	790	2504
240	793	2498
241	797	2497
242	800	2493
243	803	2488
244	816	2515
245	819	2511
246	822	2506
247	825	2503
248	830	2505
249	833	2501
250	836	2496
251	839	2491
252	843	2490
253	846	2486
254	849	2481
255	852	2476
256	854	2471
257	859	2471
258	862	2467
259	865	2462
260	868	2458
261	871	2455
262	875	2453
263	878	2449
264	881	2444
265	884	2440
266	888	2438
267	892	2438
268	896	2437
269	900	2435
270	905	2436
271	910	2438
272	914	2435
273	917	2431
274	922	2431
275	926	2429
276	930	2427
277	933	2424
278	937	2422
279	941	2419
280	944	2416
281	947	2413
282	952	2413
283	957	2412
284	961	2412
285	965	2409
286	969	2409
287	973	2407
288	977	2403
289	980	2400
290	983	2397
291	987	2395
292	991	2393
293	995	2390
294	998	2385
295	1002	2384
296	1005	2379
297	1008	2374
298	1010	2369
